Paper,Conference,Edition,Year
Evolution of finite populations in dynamic environments.,INSIGHT ,8,2022
Équations avec opérateurs - un outil combinatoire.,SEC ,16,2021
Klassen von Sprachen fairer endlicher Automaten.,CASA--SCI ,16,2022
Visual logic - a visual source code animation system for teaching computer science at school.,Association for Machines and Mechanisms,16,2020
Automatische Generierung von Schaltkreisen durch strukturelle Analyse algebraischer Systeme.,IJITCA ,3,2019
Unscharfes Schließen.,NLPD ,13,2022
Das Bausteinkonzept - Anwendung auf die Programmierung von Logikalgorithmen.,NLAI ,10,2022
Dynamische Leitungsvermittlungsnetz für verteilte Systeme.,ICCSEA ,12,2020
DRUM-II - efficient model-based diagnosis of technical systems.,"ICCCS--IEEE, Ei Compendex, Scopus ",17,2019
Ansatz zur automatischen Erzeugung von Ausgabetreibern für die Ansteuerung von Zeichendruckern durch Textformatierer.,SAIM ,18,2019
Ermittlung von Verkehrsgeschehen durch Bildfolgenauswertung.,IJNGN ,15,2019
Virtuelle Wanderarbeit - das internationale Arbeits- und Sozialversicherungsrecht der grenzüberschreitenden Telearbeit.,Georgetown Leadership Seminar,9,2018
Hybrid methods of natural language analysis.,Georgetown Leadership Seminar,7,2019
PERPLEX - ein graphisch-interaktives System zur Unterstützung der logischen Programmierung.,Sp.issue LNLM - CI & Electrical Systems ,18,2023
Estimating and optimizing power consumption of integrated macro blocks at the behavioral level.,AITIJ ,6,2018
Dienstgüteunterstützung in Weitverkehrsnetzen.,dsaa ,16,2019
Replication-based scalable parallelisation of virtual environments.,AMMS--EI and Scopus,19,2023
Integrated problem solving framework as an intelligent aid for analyzing and synthesizing technical systems.,Computing in Cardiology,20,2019
Effiziente Authentisierung und Schlüsselverwaltung in Hochleistungsnetzen.,AVC ,7,2019
Graph-Grammatiken zur Formalisierung von Modell- und Methodenbanksystemen und als Grundlage für eine Implementation.,SPM ,12,2018
Datenschutzorientierte Audit-basierte Erkennung von IT-Sicherheitsverletzungen.,"IEEE SEAI--EI Compendex, Scopus",1,2022
The complexity of subclasses of logical theories.,Association for Logic Language and Information,5,2019
"Benutzerzentrierte, graphische Interaktionsmetaphern für Fahrerinformationssysteme.",CSEIT ,2,2021
On space-bounded learning and the Vapnik-Chervonenkis dimension.,"WSEA--Ei Compendex, Scopus ",5,2022
Multivalued differential equations on graphs and applications.,Americas Conference on Information Systems,16,2017
Compiler support for machine-independent parallelization of irregular problems.,IHCI ,19,2019
Algorithmen für Verschneidungsoperationen.,CCSIT ,16,2020
Variational Methods for Medical Ultrasound Imaging.,IJDMS ,6,2017
Branchenspezifische IT-Innovationssysteme - von der Analyse zur Intervention: am Beispiel des IT-Innovationssystems für Krankenhäuser in Deutschland.,Native American Literature Symposium,16,2017
An empirical evaluation of dependence analysis in parallel program comprehension.,Nobel Conference,13,2020
Fach- und bildungswissenschaftliche Grundlagen für den Informatikunterricht in der Sekundarstufe I.,"ACM--VRIP--EI, Scopus ",19,2022
HybridHyperSigns - semiotische Parameter von Skriptstrukturen WWW-gebundener Hypertexte.,The Science of Consciousness,2,2018
MIMOSE - eine funktionale Sprache zur Beschreibung und Simulation individuellen Verhaltens in interagierenden Populationen.,International Conference on Mechanical Industrial & Energy Engineering,19,2019
Grammatikalische Funktoren und Äquivalenz.,IPPR ,8,2017
Algebras for generalized power constructions.,SOENG ,14,2021
Färbung von Kreissehnengraphen.,MIET ,20,2018
Parallelization of search-based systems by static partitioning with slackness.,IJASA ,13,2020
Preferential disambiguation in natural language processing.,Fuzzy ,10,2023
Quelques proprietes des series formelles en variables non commutatives.,IJP2P ,14,2019
Die Therapiesteuerungskomponente einer wissensbasierten Systemarchitektur für Aufgaben der Prozeßführung.,MLNLP ,20,2017
Application support for mobile computing.,MEC ,4,2023
"Zerlegung von Graphen - ein allgemeines, sequentielles und paralleles Lösungsverfahren für Graphenprobleme.","CCAT--Ei, Scopus ",7,2019
"Strukturierung neuronaler Netze zwischen Biologie und Anwendung - biologische Modellierung, Kaskadierung und hybrider Ansatz.",SEC ,3,2018
"Data Flow Based System Level Modeling, Analysis, and Synthesis of High-Performance Streaming Image Processing Applications.",International Conference on Information Systems,6,2021
A unified framework for multi-level modeling.,INSIGHT ,6,2017
An analysis of two-population coevolutionary computation.,SOENG ,15,2022
Image digitization and its influence on shape properties in finite dimensions.,Asian Symposium on Medicinal Plants Spices and Other Natural Products,16,2019
Wissensverarbeitung für Montageaufgaben in virtuellen und realen Umgebungen.,"IEEE--ICVR--Ei Compendex, Scopus ",8,2019
Grundlagen der Typ-2-berechenbaren Analysis unter besonderer Berücksichtigung der komplexen Zahlen.,ITCSE ,10,2022
Conquering contours - efficient algorithms for computational geometry.,ADEIJ ,3,2022
New foundations for automation of default reasoning.,EDU ,9,2023
Machine Learning Techniques for the Analysis of High-Throughput DNA and RNA Sequencing Data.,IJCIS ,19,2022
Ordered grammars with equivalence classes - some formal and linguistic aspects.,"IEEE--PRML--Ei, Scopus ",14,2017
The ambiguity of morphisms in free monoids and its impact on algorithmic properties of pattern languages.,The Science of Consciousness,8,2022
Benutzeradaptive und multimodale Interface-Agenten.,Text Speech and Dialogue,9,2023
Strukturgebundener Software-Entwurf auf relationaler Basis- Ein integrierender Ansatz.,ACIJ,3,2017
Analyse geschlossener Warteschlangennetzwerke unter Verwendung von lastabhängigen Knoten.,IADSDTP ,10,2021
Eine Graphgrammatik zur Repräsentation und Erkennung von Features in CAD/CAM.,SE ,19,2019
Using command objects to implement user interfaces.,Sp.issue LNLM - CI & Electrical Systems ,4,2020
Automata learning and its applications.,EI/Scopus--AEEGE ,10,2022
Perspektivierungsprozesse bei der Sprachproduktion - Spezifikation und Modellierung der Abbildung von konzeptuellen Strukturen auf semantische Repräsentationen.,"ICCEE--Ei Compendex, Scopus ",9,2021
Topologie von hybriden Objekten.,International Conference on Information Systems Security and Privacy,16,2020
Geometric dilation and halving distance.,IEEE-Ei/Scopus-CNIOT ,20,2017
Integration von Lernobjekten auf Metadatenebene - Ein Web 2.0-geprägter Ansatz.,IJDMS ,11,2021
Registration and restoration of medical images.,AVC ,1,2017
Processing structured hypermedia - a matter of style.,Annual International Conference on Real Options,19,2021
"Vereinheitlichte Spezifikation von Komponenten - Grundlagen, UNSCOM Spezifikationsrahmen und Anwendung.",Association for Laboratory Phonology,9,2021
A solver for quantified Boolean formulas in negation normal form.,SAM,6,2020
Mass preserving motion correction and multimodal image segmentation in positron emission tomography.,IJCSIT ,15,2019
Assertional verification in distributed computing.,DTMN ,19,2020
Laziness in logic programming.,IHCI ,16,2017
Tracking and Mitigation of Malicious Remote Control Networks.,IJGCA ,12,2020
Discrete scale-space formulation and multiscale edge extraction toward higher dimensions.,Comunica2,11,2022
PREGMATIC - a generator for incremental programming environments.,IEEE-EI/Scopus-ITCC ,6,2019
Towards practical and fundamental limits of anonymity protection.,"CCAT--Ei, Scopus ",16,2019
Analytische Bewertung relationaler Datenbankmaschinen.,IJSCAI ,13,2023
Differenzierbarkeit im Bild und Abbildungseigenschaften verallgemeinerter Fouriertransformationen bei variablen Koeffizienten im Außengebiet und Anwendungen auf Gleichungen im Kirchhoff-Typ.,International Conference on Parallel and Distributed Systems,2,2020
Temporal verification with transition invariants.,IEIJ ,11,2019
"Predicting DNA binding sites using generative, discriminative, and hybrid learning principles.",EI/Scopus--AEEGE ,4,2023
Darstellungen und Berechenbarkeit reeller Zahlen.,Aarhus Symposium,17,2023
Comprehending queries.,IEEE-EI/Scopus-ITCC ,18,2020
Reinforcement-Lernen in der Robotik.,SAM,2,2018
Thalamic neurons in silico.,ICT ,12,2021
Augmentierte Bildsynthese.,European Conference on Digital Libraries,15,2023
Zuverlässiger verteilter Speicher mit transaktionaler Konsistenz.,IJSCAI ,7,2019
Atomic architectural component recovery for program understanding and evolution - evaluation of atuomatic re-modelarization techniques and their integration in a semi-automatic method.,SE ,5,2019
Netzlängenbasierte Abschätzung des Zeitverhaltens in einem top-down VLSI-Entwurfsystem.,Asian Conference on Electrochemical Power Sources,16,2017
Transformation von Hornklausel-Wissensbasen - Verarbeitung gleichen Wissens durch verschiedene Inferenzen.,SEC ,20,2023
Proof reconstruction in classical and non-classical logics.,ICCSEA ,6,2019
Telekommunikation im Bankgeschäft - ein ganzheitliches Gestaltungskonzept für innovative Telekommunikationssysteme im elektronischen Bankgeschäft.,INSIGHT ,1,2021
A theoretical framework for reasoning about program construction based on extensions of rewrite systems.,Geohorizon,3,2018
Schema-unabhängige Anfragesprachen für relationale Datenbanken.,IJITMC ,15,2017
Entwurfsunterstützung für graphische Bedienungsoberflächen.,"ACCC--Ei Compendex, Scopus ",5,2020
Positiv repräsentierende Klassifikationsnetze - die Entwicklung eines neuartigen Klassifikationsnetzes für ein überwachtes Training während der Klassifikation.,"IEEE--ICVR--Ei Compendex, Scopus ",10,2021
Unscharfe zeitlogische Modellierung von Situationen und Handlungen in Bildfolgenauswertung und Robotik.,BigDaCI ,9,2020
Defaults in deduktiven Datenbanken.,ITCSE ,16,2018
Benutzermodellierung für ein adaptives intelligentes Lernsystem.,IJWSC ,18,2018
"Automatically proving the correctness of translations involving optimized code - research sponsored by Advanced Research Projects Agency, ARPA order no. 2494.",CSC ,7,2021
An efficient and flexible implementation of aspect-oriented languages.,New Ways of Analyzing Variation,5,2023
Entwurfstheorie und Entwurfsdatenmodellierung für CAD-Frameworks.,"ACM--ICCMS--EI Compendex, Scopus ",9,2023
Contribution a l'etude des operations sur les langages et des operateurs sur les familles de langages.,SERA ,11,2023
Controlling exoskeletons with EMG signals and a biomechanical body model.,Aarhus Symposium,9,2023
Learning as knowledge integration.,NeTCoM ,10,2022
Rechnergestützte Wissensakquisition für wissensbasierte Diagnosesysteme im Bereich dynamischer technischer Systeme.,NEATCLasS ,19,2021
Hyperedge replacement - grammars and languages.,The Science of Consciousness,16,2023
Counter examples in semantic tableaux.,BigDaCI ,15,2021
Hierarchical modeling and analysis of timed systems.,ICCSEA ,12,2019
Monitoring of multicast networks for time-synchronous communication.,ITCSE ,18,2020
Graphembasierte On-line-Erkennung fließender Handschrift.,ICAIT ,11,2023
Methoden und Werkzeuge zur visuellen objektorientierten Programmierung.,IJWSC ,8,2021
Exploratives Konfigurieren - über die Unterstützung des Benutzers bei computergestützten explorativen Tätigkeiten.,IEEE-EI/Scopus-ITCC ,8,2023
Digitale symmetrische gedächtnisbehaftete Übertragungskanäle.,ICCS ,2,2019
Automatische Musterklassifikation mit hierarchischen Fuzzy-Regelbasen.,IJDKP ,16,2022
A massively parallel numerical ordinary differential equation solver.,MEAP ,13,2022
Kortikale Karten und präattentive Wahrnehmung - über Segmentierungsleistungen und die Geometrie der Reizrepräsentation.,Aspen Ideas Festival,5,2020
Verification of Branching-Time and Alternating-Time Properties for Exogenous Coordination Models.,IJSCMC ,5,2021
Berechnungskomplexität der Erkennung der semantischen Unabhängigkeit von Relationen.,Computing in Cardiology,11,2023
Optimierte Software-Verteilung in graphischen Rechnerverbundsystemen.,AMMS--EI and Scopus,15,2017
Optimierung von Datenbanksystemen zur Verwaltung von Fuzzy-Daten.,GreenCom ,15,2017
Interaktive Dialogtechniken für blinde Rechnerbenutzer.,DaMi ,5,2020
"Ein für Hornklauselmengen lineares, allgemeines aussagenlogisches Beweisverfahren.",IHCI ,5,2017
Algorithms and a software system for comparative genome analysis.,IJEL ,9,2019
Unterstützung expliziter Articulation Work - Interaktive Externalisierung und Abstimmung mentaler Modelle.,International Conference on Information Systems Security and Privacy,13,2022
"DAS Datenbank-Kernsystem für Standard- und Nicht-Standard-Anwendungen - Architektur, Implementierung, Anwendungen.","ACM--ICHMI--Ei Compendex, Scopus ",11,2023
Analyse von binären Dokumentbildern.,DMAP ,18,2020
Scientific visualization in virtual reality - interaction techniques and application development.,"ICCEE--Ei Compendex, Scopus ",16,2023
Das Einführen neuer Prädikate in der induktiven logischen Programmierung.,New Ways of Analyzing Variation,2,2021
Simulierte Gestalt-Erkennung in Präsentationsgrafiken.,"ACM--VRIP--EI, Scopus ",8,2022
Objektlokalisation durch Adaption parametrischer Grauwertmodelle und ihre Anwendung in der Luftbildauswertung.,IADSDTP ,10,2018
Automatische Erzeugung dreidimensionaler Modelle für Bildanalysesysteme.,Computing in Cardiology,3,2020
A proof system for a sequential object-based language.,ACIJ,4,2020
Prozessorzuteilung unter harten Realzeitanforderungen in dedizierten Systemen.,Association for Logic Language and Information,10,2017
Embedding hardware description languages in proof systems.,European Conference on Information Systems,11,2023
Die Multiplikatoralgebra einer Banachalgebra mit approximativer Eins.,CSITA ,10,2019
A systematic study of infinite canonical systems generated by Knuth-Bendix completion and related problems.,NLPD ,14,2018
Formal verification of pipelined microprocessors.,AIS ,17,2020
Signalinterpretation mit neuronalen Netzen unter Nutzung von modellbasiertem Nebenwissen am Beispiel der Verschleißüberwachung von Werkzeugen in CNC-Drehmaschinen.,IJGTT ,6,2018
"Raytracing mit BSP-Volumen - ein globales, physikalisch-basiertes Beleuchtungsmodell.",IJDKP ,3,2021
A tactic-based inductive theorem prover for data types with partial operations.,SEC ,20,2022
Recursive definitions of partial functions and their computations.,Text Speech and Dialogue,16,2021
