paper,author
Structural decomposition of hybrid systems.,André Frank Krause
Struktur und Bedeutung temporaler Konstituenten in einem sprachverstehenden Dialogsystem.,Amritpal Singh Bhachu
Struktur und Bedeutung temporaler Konstituenten in einem sprachverstehenden Dialogsystem.,Mohamed Medhat Gaber
Struktur und Bedeutung temporaler Konstituenten in einem sprachverstehenden Dialogsystem.,Pietro Coli
Strukturbasierte Programmgenerierung für massiv parallele Rechensysteme.,Amritpal Singh Bhachu
Strukturbasierte Programmgenerierung für massiv parallele Rechensysteme.,Mohamed Medhat Gaber
Strukturbasierte Programmgenerierung für massiv parallele Rechensysteme.,Pietro Coli
Strukturbasierte Programmgenerierung für massiv parallele Rechensysteme.,James P. M. Ntozi
"Strukturierung neuronaler Netze zwischen Biologie und Anwendung - biologische Modellierung, Kaskadierung und hybrider Ansatz.",Amritpal Singh Bhachu
"Strukturierung neuronaler Netze zwischen Biologie und Anwendung - biologische Modellierung, Kaskadierung und hybrider Ansatz.",Mohamed Medhat Gaber
"Strukturierung neuronaler Netze zwischen Biologie und Anwendung - biologische Modellierung, Kaskadierung und hybrider Ansatz.",Pietro Coli
Subtree replacement systems.,Amritpal Singh Bhachu
Subtree replacement systems.,Mohamed Medhat Gaber
Subtree replacement systems.,Pietro Coli
Subtree replacement systems.,James P. M. Ntozi
Symbolic modelling of the dynamic environments of autonomous agents.,Amritpal Singh Bhachu
Symbolic modelling of the dynamic environments of autonomous agents.,Mohamed Medhat Gaber
Symbolic modelling of the dynamic environments of autonomous agents.,Pietro Coli
Symbolic modelling of the dynamic environments of autonomous agents.,James P. M. Ntozi
Symbolic modelling of the dynamic environments of autonomous agents.,André Frank Krause
Synchronisation von Dateibäumen mit Hilfe von Graphtransformationssystemen.,Amritpal Singh Bhachu
Synchronisation von Dateibäumen mit Hilfe von Graphtransformationssystemen.,Mohamed Medhat Gaber
Synchronisation von Dateibäumen mit Hilfe von Graphtransformationssystemen.,Pietro Coli
Synchronisation von Dateibäumen mit Hilfe von Graphtransformationssystemen.,James P. M. Ntozi
Synchronisation von Dateibäumen mit Hilfe von Graphtransformationssystemen.,André Frank Krause
Synthese und Koordination von Sprache und Gestik für virtuelle multimodale Agenten.,Amritpal Singh Bhachu
Synthese und Koordination von Sprache und Gestik für virtuelle multimodale Agenten.,Mohamed Medhat Gaber
Synthese und Koordination von Sprache und Gestik für virtuelle multimodale Agenten.,Pietro Coli
Synthese und Koordination von Sprache und Gestik für virtuelle multimodale Agenten.,James P. M. Ntozi
Synthese und Koordination von Sprache und Gestik für virtuelle multimodale Agenten.,André Frank Krause
Tabulated resolution for well-founded semantics.,Amritpal Singh Bhachu
Tabulated resolution for well-founded semantics.,Mohamed Medhat Gaber
Tabulated resolution for well-founded semantics.,Pietro Coli
"Tailorable systems - design, support, techniques, and applications.",Amritpal Singh Bhachu
"Tailorable systems - design, support, techniques, and applications.",Mohamed Medhat Gaber
"Tailorable systems - design, support, techniques, and applications.",Pietro Coli
"Tailorable systems - design, support, techniques, and applications.",James P. M. Ntozi
"Tailorable systems - design, support, techniques, and applications.",André Frank Krause
Technologieabhängigkeit von Spezifikationen digitaler Hardware.,Amritpal Singh Bhachu
Technologieabhängigkeit von Spezifikationen digitaler Hardware.,Mohamed Medhat Gaber
Technologieabhängigkeit von Spezifikationen digitaler Hardware.,Pietro Coli
Technologieabhängigkeit von Spezifikationen digitaler Hardware.,James P. M. Ntozi
Termination analysis for offline partial evaluation of a higher order functional language.,Amritpal Singh Bhachu
Termination analysis for offline partial evaluation of a higher order functional language.,Mohamed Medhat Gaber
Termination analysis for offline partial evaluation of a higher order functional language.,Pietro Coli
Termination analysis for offline partial evaluation of a higher order functional language.,James P. M. Ntozi
Termination analysis for offline partial evaluation of a higher order functional language.,André Frank Krause
Terminator II - stopping partial evaluatin of fully recursive programs.,Amritpal Singh Bhachu
Terminator II - stopping partial evaluatin of fully recursive programs.,Mohamed Medhat Gaber
Terminator II - stopping partial evaluatin of fully recursive programs.,Pietro Coli
Terminator II - stopping partial evaluatin of fully recursive programs.,James P. M. Ntozi
"Texturen - Analyse, Beschreibung und Synthese.",Amritpal Singh Bhachu
"Texturen - Analyse, Beschreibung und Synthese.",Mohamed Medhat Gaber
"Texturen - Analyse, Beschreibung und Synthese.",Pietro Coli
"The architecture of eNVy, a non-volatile, main memory storage system.",Amritpal Singh Bhachu
"The architecture of eNVy, a non-volatile, main memory storage system.",Mohamed Medhat Gaber
"The architecture of eNVy, a non-volatile, main memory storage system.",Pietro Coli
"The architecture of eNVy, a non-volatile, main memory storage system.",James P. M. Ntozi
"The architecture of eNVy, a non-volatile, main memory storage system.",André Frank Krause
The asynchronous PRAM - a semi-synchronous model for shared memory MIMD machines.,Amritpal Singh Bhachu
The asynchronous PRAM - a semi-synchronous model for shared memory MIMD machines.,Mohamed Medhat Gaber
The asynchronous PRAM - a semi-synchronous model for shared memory MIMD machines.,Pietro Coli
The asynchronous PRAM - a semi-synchronous model for shared memory MIMD machines.,James P. M. Ntozi
The complexity of simple subtyping systems.,Amritpal Singh Bhachu
The complexity of simple subtyping systems.,Mohamed Medhat Gaber
The complexity of simple subtyping systems.,Pietro Coli
"The design, implementation and performance of a queue manager for PVM.",Amritpal Singh Bhachu
"The design, implementation and performance of a queue manager for PVM.",Mohamed Medhat Gaber
"The design, implementation and performance of a queue manager for PVM.",Pietro Coli
The development and implementation of a performance database server.,Amritpal Singh Bhachu
The development and implementation of a performance database server.,Mohamed Medhat Gaber
The development and implementation of a performance database server.,Pietro Coli
The development and implementation of a performance database server.,James P. M. Ntozi
The development and implementation of a performance database server.,André Frank Krause
The formal relationship between direct and continuation-passing style optimizing compilers - a synthesis of two paradigms.,Amritpal Singh Bhachu
The formal relationship between direct and continuation-passing style optimizing compilers - a synthesis of two paradigms.,Mohamed Medhat Gaber
The formal relationship between direct and continuation-passing style optimizing compilers - a synthesis of two paradigms.,Pietro Coli
The formal relationship between direct and continuation-passing style optimizing compilers - a synthesis of two paradigms.,James P. M. Ntozi
The temporal properties of english conditionals and modals.,Amritpal Singh Bhachu
The temporal properties of english conditionals and modals.,Mohamed Medhat Gaber
The temporal properties of english conditionals and modals.,Pietro Coli
The temporal properties of english conditionals and modals.,James P. M. Ntozi
The temporal properties of english conditionals and modals.,André Frank Krause
The theory of interacting deductions and its application to operational semantics.,Amritpal Singh Bhachu
The theory of interacting deductions and its application to operational semantics.,Mohamed Medhat Gaber
The theory of interacting deductions and its application to operational semantics.,Pietro Coli
The theory of interacting deductions and its application to operational semantics.,James P. M. Ntozi
The theory of interacting deductions and its application to operational semantics.,André Frank Krause
Theorie der Darstellungen und ihre Anwendungen in der konstruktiven Analysis.,Amritpal Singh Bhachu
Theorie der Darstellungen und ihre Anwendungen in der konstruktiven Analysis.,Mohamed Medhat Gaber
Theorie der Darstellungen und ihre Anwendungen in der konstruktiven Analysis.,Pietro Coli
Theorie der Darstellungen und ihre Anwendungen in der konstruktiven Analysis.,James P. M. Ntozi
Theorie der Darstellungen und ihre Anwendungen in der konstruktiven Analysis.,André Frank Krause
Theory restructuring - a perspective on design and maintenance of knowlege based systems.,Amritpal Singh Bhachu
Theory restructuring - a perspective on design and maintenance of knowlege based systems.,Mohamed Medhat Gaber
Theory restructuring - a perspective on design and maintenance of knowlege based systems.,Pietro Coli
Theory restructuring - a perspective on design and maintenance of knowlege based systems.,James P. M. Ntozi
Timbre models of musical sounds - from the model of one sound to the model of one instrument.,Amritpal Singh Bhachu
Timbre models of musical sounds - from the model of one sound to the model of one instrument.,Mohamed Medhat Gaber
Timbre models of musical sounds - from the model of one sound to the model of one instrument.,Pietro Coli
Timbre models of musical sounds - from the model of one sound to the model of one instrument.,James P. M. Ntozi
Time and probability in formal design of distributed systems.,Amritpal Singh Bhachu
Time and probability in formal design of distributed systems.,Mohamed Medhat Gaber
Time and probability in formal design of distributed systems.,Pietro Coli
Time and probability in formal design of distributed systems.,James P. M. Ntozi
Topics in type theory.,Amritpal Singh Bhachu
Topics in type theory.,Mohamed Medhat Gaber
Topics in type theory.,Pietro Coli
Topics in type theory.,James P. M. Ntozi
Topology preserving neural networks - connectionist learning of structured knowledge.,Amritpal Singh Bhachu
Topology preserving neural networks - connectionist learning of structured knowledge.,Mohamed Medhat Gaber
Topology preserving neural networks - connectionist learning of structured knowledge.,Pietro Coli
Topology preserving neural networks - connectionist learning of structured knowledge.,James P. M. Ntozi
Topology preserving neural networks - connectionist learning of structured knowledge.,André Frank Krause
Towards a strictness analyser for Haskell - putting theory into practice.,Amritpal Singh Bhachu
Towards a strictness analyser for Haskell - putting theory into practice.,Mohamed Medhat Gaber
Towards a strictness analyser for Haskell - putting theory into practice.,Pietro Coli
Transformation von Hornklausel-Wissensbasen - Verarbeitung gleichen Wissens durch verschiedene Inferenzen.,Amritpal Singh Bhachu
Transformation von Hornklausel-Wissensbasen - Verarbeitung gleichen Wissens durch verschiedene Inferenzen.,Mohamed Medhat Gaber
Transformation von Hornklausel-Wissensbasen - Verarbeitung gleichen Wissens durch verschiedene Inferenzen.,Pietro Coli
Transformation von Hornklausel-Wissensbasen - Verarbeitung gleichen Wissens durch verschiedene Inferenzen.,James P. M. Ntozi
Transformation von Hornklausel-Wissensbasen - Verarbeitung gleichen Wissens durch verschiedene Inferenzen.,André Frank Krause
Unifikation disjunktiver Attributterme - Auswertealgorithmen und Anwendungen in einer Valenzgrammatik zur Textanalyse.,Amritpal Singh Bhachu
Unifikation disjunktiver Attributterme - Auswertealgorithmen und Anwendungen in einer Valenzgrammatik zur Textanalyse.,Mohamed Medhat Gaber
Unifikation disjunktiver Attributterme - Auswertealgorithmen und Anwendungen in einer Valenzgrammatik zur Textanalyse.,Pietro Coli
Unscharfe zeitlogische Modellierung von Situationen und Handlungen in Bildfolgenauswertung und Robotik.,Amritpal Singh Bhachu
Unscharfe zeitlogische Modellierung von Situationen und Handlungen in Bildfolgenauswertung und Robotik.,Mohamed Medhat Gaber
Unscharfe zeitlogische Modellierung von Situationen und Handlungen in Bildfolgenauswertung und Robotik.,Pietro Coli
Unscharfes Schließen.,Amritpal Singh Bhachu
Unscharfes Schließen.,Mohamed Medhat Gaber
Unscharfes Schließen.,Pietro Coli
Unscharfes Schließen.,James P. M. Ntozi
Updating and structure in non-monotonic theories.,Amritpal Singh Bhachu
Updating and structure in non-monotonic theories.,Mohamed Medhat Gaber
Updating and structure in non-monotonic theories.,Pietro Coli
Updating and structure in non-monotonic theories.,James P. M. Ntozi
Updating and structure in non-monotonic theories.,André Frank Krause
Users and computers - a contextual approach to design of computer artifacts.,Amritpal Singh Bhachu
Users and computers - a contextual approach to design of computer artifacts.,Mohamed Medhat Gaber
Users and computers - a contextual approach to design of computer artifacts.,Pietro Coli
Users and computers - a contextual approach to design of computer artifacts.,James P. M. Ntozi
Validierung konzeptueller Schemata.,Amritpal Singh Bhachu
Validierung konzeptueller Schemata.,Mohamed Medhat Gaber
Validierung konzeptueller Schemata.,Pietro Coli
Variantenkonstruktion durch Auswertung der Abhängigkeiten zwischen den Konstruktionsbauteilen.,Amritpal Singh Bhachu
Variantenkonstruktion durch Auswertung der Abhängigkeiten zwischen den Konstruktionsbauteilen.,Mohamed Medhat Gaber
Variantenkonstruktion durch Auswertung der Abhängigkeiten zwischen den Konstruktionsbauteilen.,Pietro Coli
Variantenkonstruktion durch Auswertung der Abhängigkeiten zwischen den Konstruktionsbauteilen.,James P. M. Ntozi
Verdeckungen und spezielle Sichten bei der Polyederrekonstruktion.,Amritpal Singh Bhachu
Verdeckungen und spezielle Sichten bei der Polyederrekonstruktion.,Mohamed Medhat Gaber
Verdeckungen und spezielle Sichten bei der Polyederrekonstruktion.,Pietro Coli
Verdeckungen und spezielle Sichten bei der Polyederrekonstruktion.,James P. M. Ntozi
Vergleichende Bewertung konnektionistischer Modelle mit klassischen statistischen Klassifikationsverfahren.,Amritpal Singh Bhachu
Vergleichende Bewertung konnektionistischer Modelle mit klassischen statistischen Klassifikationsverfahren.,Mohamed Medhat Gaber
Vergleichende Bewertung konnektionistischer Modelle mit klassischen statistischen Klassifikationsverfahren.,Pietro Coli
Vergleichende Bewertung konnektionistischer Modelle mit klassischen statistischen Klassifikationsverfahren.,James P. M. Ntozi
Vergleichende Bewertung konnektionistischer Modelle mit klassischen statistischen Klassifikationsverfahren.,André Frank Krause
Verteiltes Problemlösen mit wissensbasierten Diagnosesystemen.,Amritpal Singh Bhachu
Verteiltes Problemlösen mit wissensbasierten Diagnosesystemen.,Mohamed Medhat Gaber
Verteiltes Problemlösen mit wissensbasierten Diagnosesystemen.,Pietro Coli
Verteiltes Problemlösen mit wissensbasierten Diagnosesystemen.,James P. M. Ntozi
Verteiltes und kooperatives Planen in einer flexiblen Fertigungsumgebung.,Amritpal Singh Bhachu
Verteiltes und kooperatives Planen in einer flexiblen Fertigungsumgebung.,Mohamed Medhat Gaber
Verteiltes und kooperatives Planen in einer flexiblen Fertigungsumgebung.,Pietro Coli
Verwendung von Bildauswertungsmethoden zur Erkennung und Lagebestimmung von generischen polyedrischen Objekten im Raum.,Amritpal Singh Bhachu
Verwendung von Bildauswertungsmethoden zur Erkennung und Lagebestimmung von generischen polyedrischen Objekten im Raum.,Mohamed Medhat Gaber
Verwendung von Bildauswertungsmethoden zur Erkennung und Lagebestimmung von generischen polyedrischen Objekten im Raum.,Pietro Coli
Verwendung von Bildauswertungsmethoden zur Erkennung und Lagebestimmung von generischen polyedrischen Objekten im Raum.,James P. M. Ntozi
Verwendung von Bildauswertungsmethoden zur Erkennung und Lagebestimmung von generischen polyedrischen Objekten im Raum.,André Frank Krause
Visuelle Erkennung von Handstellungen mit neuronalen Netzen.,Amritpal Singh Bhachu
Visuelle Erkennung von Handstellungen mit neuronalen Netzen.,Mohamed Medhat Gaber
Visuelle Erkennung von Handstellungen mit neuronalen Netzen.,Pietro Coli
Visuelle Erkennung von Handstellungen mit neuronalen Netzen.,James P. M. Ntozi
Visuelle Erkennung von Handstellungen mit neuronalen Netzen.,André Frank Krause
Vom Metabolismus zur genetischen Sprache.,Amritpal Singh Bhachu
Vom Metabolismus zur genetischen Sprache.,Mohamed Medhat Gaber
Vom Metabolismus zur genetischen Sprache.,Pietro Coli
Von visuellen Daten zu inkrementellen Wegbeschreibungen in dreidimensionalen Umgebungen - das Modell eines kognitiven Agenten.,Amritpal Singh Bhachu
Von visuellen Daten zu inkrementellen Wegbeschreibungen in dreidimensionalen Umgebungen - das Modell eines kognitiven Agenten.,Mohamed Medhat Gaber
Von visuellen Daten zu inkrementellen Wegbeschreibungen in dreidimensionalen Umgebungen - das Modell eines kognitiven Agenten.,Pietro Coli
Von visuellen Daten zu inkrementellen Wegbeschreibungen in dreidimensionalen Umgebungen - das Modell eines kognitiven Agenten.,James P. M. Ntozi
Von visuellen Daten zu inkrementellen Wegbeschreibungen in dreidimensionalen Umgebungen - das Modell eines kognitiven Agenten.,André Frank Krause
"Weak and strong normalization, K-redexes, and first-order logic.",Amritpal Singh Bhachu
"Weak and strong normalization, K-redexes, and first-order logic.",Mohamed Medhat Gaber
"Weak and strong normalization, K-redexes, and first-order logic.",Pietro Coli
Wiederverwendung von Commonsense Ontologien im Knowledge Engineering - Methoden und Werkzeuge.,Amritpal Singh Bhachu
Wiederverwendung von Commonsense Ontologien im Knowledge Engineering - Methoden und Werkzeuge.,Mohamed Medhat Gaber
Wiederverwendung von Commonsense Ontologien im Knowledge Engineering - Methoden und Werkzeuge.,Pietro Coli
Wiederverwendung von Commonsense Ontologien im Knowledge Engineering - Methoden und Werkzeuge.,James P. M. Ntozi
Wiederverwendung von Plänen in deduktiven Planungssystemen.,Amritpal Singh Bhachu
Wiederverwendung von Plänen in deduktiven Planungssystemen.,Mohamed Medhat Gaber
Wiederverwendung von Plänen in deduktiven Planungssystemen.,Pietro Coli
Wiederverwendung von Plänen in deduktiven Planungssystemen.,James P. M. Ntozi
Wiederverwendung von Plänen in deduktiven Planungssystemen.,André Frank Krause
Wissen und Wissensvermittlung im Kontext von internetbasierten intelligenten Lehr- und Lernumgebungen.,Amritpal Singh Bhachu
Wissen und Wissensvermittlung im Kontext von internetbasierten intelligenten Lehr- und Lernumgebungen.,Mohamed Medhat Gaber
Wissen und Wissensvermittlung im Kontext von internetbasierten intelligenten Lehr- und Lernumgebungen.,Pietro Coli
Wissen und Wissensvermittlung im Kontext von internetbasierten intelligenten Lehr- und Lernumgebungen.,James P. M. Ntozi
Wissen und Wissensvermittlung im Kontext von internetbasierten intelligenten Lehr- und Lernumgebungen.,André Frank Krause
Wissensbasierte Analyse medizinischer Bilder - das Biotop-Verfahren.,Amritpal Singh Bhachu
Wissensbasierte Analyse medizinischer Bilder - das Biotop-Verfahren.,Mohamed Medhat Gaber
Wissensbasierte Analyse medizinischer Bilder - das Biotop-Verfahren.,Pietro Coli
Wissensbasierte Bewegungsausführung für die Montageautomatisierung mit Industrierobotern.,Amritpal Singh Bhachu
Wissensbasierte Bewegungsausführung für die Montageautomatisierung mit Industrierobotern.,Mohamed Medhat Gaber
Wissensbasierte Bewegungsausführung für die Montageautomatisierung mit Industrierobotern.,Pietro Coli
Wissensbasierte Bewegungsausführung für die Montageautomatisierung mit Industrierobotern.,James P. M. Ntozi
Wissensbasierte Bewegungsausführung für die Montageautomatisierung mit Industrierobotern.,André Frank Krause
Wissensbasierte Entwicklungsumgebung für Bildanalysesysteme aus dem industriellen Bereich.,Amritpal Singh Bhachu
Wissensbasierte Entwicklungsumgebung für Bildanalysesysteme aus dem industriellen Bereich.,Mohamed Medhat Gaber
Wissensbasierte Entwicklungsumgebung für Bildanalysesysteme aus dem industriellen Bereich.,Pietro Coli
Wissensbasierte Entwicklungsumgebung für Bildanalysesysteme aus dem industriellen Bereich.,James P. M. Ntozi
Wissensbasierte Greifplanung für Mehrfinger-Roboterhände.,Amritpal Singh Bhachu
Wissensbasierte Greifplanung für Mehrfinger-Roboterhände.,Mohamed Medhat Gaber
Wissensbasierte Greifplanung für Mehrfinger-Roboterhände.,Pietro Coli
Wissensbasierte Greifplanung für Mehrfinger-Roboterhände.,James P. M. Ntozi
Wissensbasierte Synthese von Bildanalyseprogrammen.,Amritpal Singh Bhachu
Wissensbasierte Synthese von Bildanalyseprogrammen.,Mohamed Medhat Gaber
Wissensbasierte Synthese von Bildanalyseprogrammen.,Pietro Coli
Wissensbasierte Synthese von Bildanalyseprogrammen.,James P. M. Ntozi
Wissensbasierte Synthese von Bildanalyseprogrammen.,André Frank Krause
Wissensbasierte Verfahren für den automatischen Entwurf von Gebrauchsgraphik in der technischen Dokumentation.,Amritpal Singh Bhachu
Wissensbasierte Verfahren für den automatischen Entwurf von Gebrauchsgraphik in der technischen Dokumentation.,Mohamed Medhat Gaber
Wissensbasierte Verfahren für den automatischen Entwurf von Gebrauchsgraphik in der technischen Dokumentation.,Pietro Coli
Wissensbasierte Verfahren zur Synthese mathematischer Beweise: Eine kombinatorische Anwendung.,Amritpal Singh Bhachu
Wissensbasierte Verfahren zur Synthese mathematischer Beweise: Eine kombinatorische Anwendung.,Mohamed Medhat Gaber
Wissensbasierte Verfahren zur Synthese mathematischer Beweise: Eine kombinatorische Anwendung.,Pietro Coli
Wissensbasierte Verfahren zur Synthese mathematischer Beweise: Eine kombinatorische Anwendung.,James P. M. Ntozi
Wissensbasierte Verkehrsszenenanalyse zur Fahrerunterstützung.,Amritpal Singh Bhachu
Wissensbasierte Verkehrsszenenanalyse zur Fahrerunterstützung.,Mohamed Medhat Gaber
Wissensbasierte Verkehrsszenenanalyse zur Fahrerunterstützung.,Pietro Coli
Wissensbasierte Verkehrsszenenanalyse zur Fahrerunterstützung.,James P. M. Ntozi
Wissensbasierte genetische Algorithmen - Integration von genetischen Algorithmen und Constraint-Programmierung zur Lösung kombinatorischer Optimierungsprobleme.,Amritpal Singh Bhachu
Wissensbasierte genetische Algorithmen - Integration von genetischen Algorithmen und Constraint-Programmierung zur Lösung kombinatorischer Optimierungsprobleme.,Mohamed Medhat Gaber
Wissensbasierte genetische Algorithmen - Integration von genetischen Algorithmen und Constraint-Programmierung zur Lösung kombinatorischer Optimierungsprobleme.,Pietro Coli
Wissensbasierte genetische Algorithmen - Integration von genetischen Algorithmen und Constraint-Programmierung zur Lösung kombinatorischer Optimierungsprobleme.,James P. M. Ntozi
Wissensbasiertes Lösen von Ablaufplanungsproblemen durch explizite Heuristiken.,Amritpal Singh Bhachu
Wissensbasiertes Lösen von Ablaufplanungsproblemen durch explizite Heuristiken.,Mohamed Medhat Gaber
Wissensbasiertes Lösen von Ablaufplanungsproblemen durch explizite Heuristiken.,Pietro Coli
Wissensbasiertes Lösen von Ablaufplanungsproblemen durch explizite Heuristiken.,James P. M. Ntozi
Wissensbasiertes Lösen von Ablaufplanungsproblemen durch explizite Heuristiken.,André Frank Krause
Wissensintensives Lernen für zeitkritische technische Diagnoseaufgaben.,Amritpal Singh Bhachu
Wissensintensives Lernen für zeitkritische technische Diagnoseaufgaben.,Mohamed Medhat Gaber
Wissensintensives Lernen für zeitkritische technische Diagnoseaufgaben.,Pietro Coli
Wissensintensives Lernen für zeitkritische technische Diagnoseaufgaben.,James P. M. Ntozi
Wissensverarbeitung für Montageaufgaben in virtuellen und realen Umgebungen.,Amritpal Singh Bhachu
Wissensverarbeitung für Montageaufgaben in virtuellen und realen Umgebungen.,Mohamed Medhat Gaber
Wissensverarbeitung für Montageaufgaben in virtuellen und realen Umgebungen.,Pietro Coli
Wissensverarbeitung für Montageaufgaben in virtuellen und realen Umgebungen.,James P. M. Ntozi
Witness hiding proofs and applications.,Amritpal Singh Bhachu
Witness hiding proofs and applications.,Mohamed Medhat Gaber
Witness hiding proofs and applications.,Pietro Coli
Zeitrepräsentation und merkmalsgesteuerte Suche zur Terminplanung.,Amritpal Singh Bhachu
Zeitrepräsentation und merkmalsgesteuerte Suche zur Terminplanung.,Mohamed Medhat Gaber
Zeitrepräsentation und merkmalsgesteuerte Suche zur Terminplanung.,Pietro Coli
Zur Darstellung und Verarbeitung von Wissen über Himmelsrichtungen.,Amritpal Singh Bhachu
Zur Darstellung und Verarbeitung von Wissen über Himmelsrichtungen.,Mohamed Medhat Gaber
Zur Darstellung und Verarbeitung von Wissen über Himmelsrichtungen.,Pietro Coli
Zur Darstellung und Verarbeitung von Wissen über Himmelsrichtungen.,James P. M. Ntozi
Zur Darstellung und Verarbeitung von Wissen über Himmelsrichtungen.,André Frank Krause
Zur Lösung von Finite-Differenzen-und Finite-Element-Gleichungen mittels der Hierarchischen-Transformations-Mehrgitter-Methode - Sonderforschungsbericht 342: Methoden und Werkzeuge für die Nutzung paralleler Rechnerarchitekturen.,Amritpal Singh Bhachu
Zur Lösung von Finite-Differenzen-und Finite-Element-Gleichungen mittels der Hierarchischen-Transformations-Mehrgitter-Methode - Sonderforschungsbericht 342: Methoden und Werkzeuge für die Nutzung paralleler Rechnerarchitekturen.,Mohamed Medhat Gaber
Zur Lösung von Finite-Differenzen-und Finite-Element-Gleichungen mittels der Hierarchischen-Transformations-Mehrgitter-Methode - Sonderforschungsbericht 342: Methoden und Werkzeuge für die Nutzung paralleler Rechnerarchitekturen.,Pietro Coli
Zur Lösung von Finite-Differenzen-und Finite-Element-Gleichungen mittels der Hierarchischen-Transformations-Mehrgitter-Methode - Sonderforschungsbericht 342: Methoden und Werkzeuge für die Nutzung paralleler Rechnerarchitekturen.,James P. M. Ntozi
"Zur Rolle der Aufmerksamkeit für die Objekterkennung - Modellierung, Simulation, Empirie.",Amritpal Singh Bhachu
"Zur Rolle der Aufmerksamkeit für die Objekterkennung - Modellierung, Simulation, Empirie.",Mohamed Medhat Gaber
"Zur Rolle der Aufmerksamkeit für die Objekterkennung - Modellierung, Simulation, Empirie.",Pietro Coli
Änderungskontrolle in deduktiven Datenbanken.,Amritpal Singh Bhachu
Änderungskontrolle in deduktiven Datenbanken.,Mohamed Medhat Gaber
Änderungskontrolle in deduktiven Datenbanken.,Pietro Coli
Änderungskontrolle in deduktiven Datenbanken.,James P. M. Ntozi
Änderungskontrolle in deduktiven Datenbanken.,André Frank Krause
Über die Suche nach situationsgerechten Fällen im fallbasierten Schließen.,Amritpal Singh Bhachu
Über die Suche nach situationsgerechten Fällen im fallbasierten Schließen.,Mohamed Medhat Gaber
Über die Suche nach situationsgerechten Fällen im fallbasierten Schließen.,Pietro Coli
Über die Suche nach situationsgerechten Fällen im fallbasierten Schließen.,James P. M. Ntozi
Über die Suche nach situationsgerechten Fällen im fallbasierten Schließen.,André Frank Krause
"Übertragbarkeit des Ansatzes der Erklärungskomponenten auf konventionelle Anwendungsprogramme - Konzeption, Entwicklung von Prototypen und empirische Untersuchung.",Amritpal Singh Bhachu
"Übertragbarkeit des Ansatzes der Erklärungskomponenten auf konventionelle Anwendungsprogramme - Konzeption, Entwicklung von Prototypen und empirische Untersuchung.",Mohamed Medhat Gaber
"Übertragbarkeit des Ansatzes der Erklärungskomponenten auf konventionelle Anwendungsprogramme - Konzeption, Entwicklung von Prototypen und empirische Untersuchung.",Pietro Coli
