paper,keywords,topics
Communications intensives dans les architectures a memoire distribuee et algorithmes paralleles pour la recherche de racines de polynomes.,et:paralleles,Formal Languages and Automata Theory
Über Zufallselemente in meßbaren Vektorräumen und einige Fragen der Approximation von Zufallselementen und Zufallsprozessen.,vektorräumen:zufallselementen,Cryptography and Security
Ein Einschubsystem für die musikwissenschaftliche Analyse - basierend auf einem Ansatz zur bruchlosen Modellierung von Anwendungsfamilien mit Rahmenwerken und Komponenten.,komponenten.:modellierung,Robotics
Einsatz flagorientierter assoziativer Konzepte zur Beschleunigung deterministischer Funktionstests in Schreib-/Lesespeichern.,funktionstests:einsatz:assoziativer,Emerging Technologies
Modell geschachtelter Relationen - Effiziente Unterstützung einer relationalen Datenbankschnittstelle.,unterstützung:effiziente,Formal Languages and Automata Theory
Das Entscheidungsproblem für einige Erweiterungen der Nachfolger-Arithmetik.,erweiterungen:entscheidungsproblem,Computer Vision and Pattern Recognition
Advanced visualization and modeling of tetrahedral meshes.,advanced:meshes.:modeling,Other Computer Science
Mehrdimensionale Fast Rule Filterautomaten.,fast:rule,Hardware Architecture
The temporal properties of english conditionals and modals.,conditionals:modals.:properties,Hardware Architecture
A connectionist approach for learning search-control heuristics for automated deduction systems.,learning:systems.,Formal Languages and Automata Theory
Ensemble algorithms with applications to clustering and image segmentation.,segmentation.:algorithms,Graphics
Objektorientiertes Metamodell für die Software-Entwicklung.,objektorientiertes:software-entwicklung.,Artificial Intelligence
A structural approach to diophantine definability.,approach:definability.,Systems and Control
Mustergesteuerte Strategien für das Beweisen von Gleichungen.,beweisen:strategien,Information Theory
Ein Tutoring Prozess Modell für fallbasierte intelligente Tutoring Systeme.,tutoring:fallbasierte,Computer Vision and Pattern Recognition
Optimierung funktionaler Programme mittels abstrakter Programm-Interpretation.,optimierung:programme:mittels,General Literature
H2-Konvergenz der Rothe-Approximationen für das Navier-Stokessche Anfangs-Randwertproblem in Außengebieten.,h2-konvergenz:außengebieten.,Digital Libraries
Automatic offline understanding of hand-drawn sketch maps.,understanding:hand-drawn:sketch,Digital Libraries
Konzeption von bildgenerierenden Systemen in einer integrierten CAD-Arbeitsplatzumgebung und deren Realisierung.,systemen:deren:bildgenerierenden,Information Retrieval
Diskursive Anforderungsanalyse und Validierung - ein Beitrag zum Reduktionsproblem bei Systementwicklungen in der Informatik.,systementwicklungen:validierung:reduktionsproblem,Robotics
Formale Beschreibung von Rechnerarchitekturen und Programmsprachen - Implementierung und Anwendung in einem erzeugenden System für Codegeneratoren.,anwendung:codegeneratoren.,Human-Computer Interaction
Exakte Charakterisierung eines semantischen Datenmodells und seiner Operationen durch relationale Konzepte.,charakterisierung:relationale:operationen,Information Retrieval
Synthese und Koordination von Sprache und Gestik für virtuelle multimodale Agenten.,multimodale:agenten.:virtuelle,Computational Engineering Finance and Science
Erkennung von Objekten in Einzelvideobildern mittels Aspektbäumen.,aspektbäumen.:einzelvideobildern,Computers and Society
Semantics and correctness of classes of deterministic and nondeterministic recursive programs.,correctness:nondeterministic:deterministic,Formal Languages and Automata Theory
A Framework for Automated HW/SW Co-Verification of SystemC Designs Using Timed Automata.,hw/sw:framework:automated,Sound
OASIS - an open architecture for secure interworking services.,architecture:open:interworking,Computation and Language
"Dynamische adaptive Lastbalancierung für große, heterogen konkurrierende Anwendungen.",dynamische:anwendungen.:konkurrierende,Social and Information Networks
Syntaxe des langages de Chomsky - essai sur le determinisme.,chomsky:essai,Social and Information Networks
Strukturbasierte Sichtdefinition in objektorientierten Datenbanksystemen.,datenbanksystemen.:sichtdefinition,Cryptography and Security
"Structured non-coding RNAs - prediction, comparison, annotation.",annotation.:rnas:structured,Numerical Analysis
Ein System für die Konstruktion objektorientierter Übersetzer.,objektorientierter:übersetzer.:system,Social and Information Networks
Evolution of finite populations in dynamic environments.,dynamic:finite,Distributed Parallel and Cluster Computing
Équations avec opérateurs - un outil combinatoire.,opérateurs:outil,Numerical Analysis
Klassen von Sprachen fairer endlicher Automaten.,sprachen:automaten.,Neural and Evolutionary Computing
Visual logic - a visual source code animation system for teaching computer science at school.,computer:system,Computational Engineering Finance and Science
Automatische Generierung von Schaltkreisen durch strukturelle Analyse algebraischer Systeme.,algebraischer:generierung:analyse,Logic in Computer Science
Unscharfes Schließen.,unscharfes,Formal Languages and Automata Theory
Das Bausteinkonzept - Anwendung auf die Programmierung von Logikalgorithmen.,programmierung:logikalgorithmen.,Sound
Dynamische Leitungsvermittlungsnetz für verteilte Systeme.,dynamische:leitungsvermittlungsnetz,Symbolic Computation
DRUM-II - efficient model-based diagnosis of technical systems.,systems.:efficient:drum-ii,Programming Languages
Ansatz zur automatischen Erzeugung von Ausgabetreibern für die Ansteuerung von Zeichendruckern durch Textformatierer.,ausgabetreibern:textformatierer.:ansteuerung,Data Structures and Algorithms
Ermittlung von Verkehrsgeschehen durch Bildfolgenauswertung.,bildfolgenauswertung.:ermittlung,Emerging Technologies
Virtuelle Wanderarbeit - das internationale Arbeits- und Sozialversicherungsrecht der grenzüberschreitenden Telearbeit.,internationale:sozialversicherungsrecht:arbeits-,Social and Information Networks
Hybrid methods of natural language analysis.,analysis.:language:methods,Networking and Internet Architecture
PERPLEX - ein graphisch-interaktives System zur Unterstützung der logischen Programmierung.,graphisch-interaktives:logischen:perplex,Formal Languages and Automata Theory
Estimating and optimizing power consumption of integrated macro blocks at the behavioral level.,power:level.:behavioral,Databases
Dienstgüteunterstützung in Weitverkehrsnetzen.,weitverkehrsnetzen.,Systems and Control
Replication-based scalable parallelisation of virtual environments.,virtual:parallelisation:replication-based,Symbolic Computation
Integrated problem solving framework as an intelligent aid for analyzing and synthesizing technical systems.,integrated:aid:intelligent,Computational Engineering Finance and Science
Effiziente Authentisierung und Schlüsselverwaltung in Hochleistungsnetzen.,schlüsselverwaltung:hochleistungsnetzen.,Formal Languages and Automata Theory
Graph-Grammatiken zur Formalisierung von Modell- und Methodenbanksystemen und als Grundlage für eine Implementation.,formalisierung:modell-:implementation., Computational Geometry
Datenschutzorientierte Audit-basierte Erkennung von IT-Sicherheitsverletzungen.,erkennung:it-sicherheitsverletzungen.:audit-basierte,Discrete Mathematics
The complexity of subclasses of logical theories.,logical:theories., Computational Geometry
"Benutzerzentrierte, graphische Interaktionsmetaphern für Fahrerinformationssysteme.","benutzerzentrierte,:interaktionsmetaphern",Graphics
On space-bounded learning and the Vapnik-Chervonenkis dimension.,vapnik-chervonenkis:space-bounded,Sound
Multivalued differential equations on graphs and applications.,applications.:equations,Computer Science and Game Theory
Compiler support for machine-independent parallelization of irregular problems.,parallelization:problems.:compiler,Machine Learning
Algorithmen für Verschneidungsoperationen.,algorithmen,Information Theory
Variational Methods for Medical Ultrasound Imaging.,ultrasound:imaging.:methods,Graphics
Branchenspezifische IT-Innovationssysteme - von der Analyse zur Intervention: am Beispiel des IT-Innovationssystems für Krankenhäuser in Deutschland.,analyse:krankenhäuser,Computer Science and Game Theory
An empirical evaluation of dependence analysis in parallel program comprehension.,comprehension.:empirical,Neural and Evolutionary Computing
Fach- und bildungswissenschaftliche Grundlagen für den Informatikunterricht in der Sekundarstufe I.,informatikunterricht:fach-:grundlagen,Sound
HybridHyperSigns - semiotische Parameter von Skriptstrukturen WWW-gebundener Hypertexte.,hybridhypersigns:parameter,Symbolic Computation
MIMOSE - eine funktionale Sprache zur Beschreibung und Simulation individuellen Verhaltens in interagierenden Populationen.,beschreibung:simulation:verhaltens,Computational Engineering Finance and Science
Grammatikalische Funktoren und Äquivalenz.,funktoren:äquivalenz.,Cryptography and Security
Algebras for generalized power constructions.,algebras:power:constructions., Computational Geometry
Färbung von Kreissehnengraphen.,färbung,Human-Computer Interaction
Parallelization of search-based systems by static partitioning with slackness.,static:systems,Computation and Language
Preferential disambiguation in natural language processing.,language:natural,Other Computer Science
Quelques proprietes des series formelles en variables non commutatives.,quelques:commutatives.:non,Computers and Society
Die Therapiesteuerungskomponente einer wissensbasierten Systemarchitektur für Aufgaben der Prozeßführung.,systemarchitektur:aufgaben,Multiagent Systems
Application support for mobile computing.,support:computing.,General Literature
"Zerlegung von Graphen - ein allgemeines, sequentielles und paralleles Lösungsverfahren für Graphenprobleme.",sequentielles:zerlegung,Multimedia
"Strukturierung neuronaler Netze zwischen Biologie und Anwendung - biologische Modellierung, Kaskadierung und hybrider Ansatz.",netze:anwendung,Symbolic Computation
"Data Flow Based System Level Modeling, Analysis, and Synthesis of High-Performance Streaming Image Processing Applications.","image:analysis,:streaming",General Literature
A unified framework for multi-level modeling.,modeling.:unified,Distributed Parallel and Cluster Computing
An analysis of two-population coevolutionary computation.,coevolutionary:computation.,Information Theory
Image digitization and its influence on shape properties in finite dimensions.,influence:dimensions.:finite,Networking and Internet Architecture
Wissensverarbeitung für Montageaufgaben in virtuellen und realen Umgebungen.,montageaufgaben:wissensverarbeitung:umgebungen.,Symbolic Computation
